Acetitomaculum ruminis
Acetivibrio cellulolyticus
Acetivibrio ethanolgignens
Acetivibrio mesophilus
Acetivibrio thermocellus
Acholeplasma hippikon
Acidaminococcus intestini
Acididesulfobacillus acetoxydans
Acutalibacter caecimuris
Acutalibacter muris
Adlercreutzia equolifaciens
Adlercreutzia shanghongiae
Aestuariispira ectoiniformans
Aestuariispira insulae
Agathobacter rectalis
Agathobaculum butyriciproducens
Akkermansia muciniphila
Alistipes communis
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes megaguti
Alistipes onderdonkii
Alistipes putredinis
Alistipes shahii
Alkaliphilus crotonatoxidans
Alkaliphilus transvaalensis
Allofournierella massiliensis
Aminipila butyrica
Aminipila terrae
Anaerobium acetethylicum
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Anaerofilum pentosovorans
Anaeromassilibacillus senegalensis
Anaeromicropila herbilytica
Anaeromicropila populeti
Anaeromonas frigoriresistens
Anaerosolibacter carboniphilus
Anaerosporobacter mobilis
Anaerostipes butyraticus
Anaerostipes faecalis
Anaerostipes hadrus
Anaerotaenia torta
Anaerotignum aminivorans
Anaerotignum faecicola
Anaerotignum lactatifermentans
Anaerotruncus colihominis
Anaerotruncus rubiinfantis
Anaerovibrio slackiae
Angelakisella massiliensis
Aristaeella hokkaidonensis
Aristaeella lactis
Asteroleplasma anaerobium
[Bacillus] thermocloacae
Bacteroides acidifaciens
Bacteroides caccae
Bacteroides caecimuris
Bacteroides cellulosilyticus
Bacteroides congonensis
Bacteroides faecichinchillae
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides humanifaecis
Bacteroides koreensis
Bacteroides luhongzhouii
Bacteroides ndongoniae
Bacteroides ovatus
Bacteroides rodentium
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides timonensis
Bacteroides uniformis
Bacteroides xylanisolvens
Bacteroides zhangwenhongii
Barnesiella intestinihominis
Bergeyella cardium
Berryella wangjianweii
Bifidobacterium adolescentis
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium callitrichidarum
Bifidobacterium canis
Bifidobacterium gallicum
Bifidobacterium longum
Bifidobacterium miconisargentati
Bifidobacterium phasiani
Bifidobacterium pseudolongum
Bifidobacterium ruminantium
Bifidobacterium samirii
Bilophila wadsworthia
Bittarella massiliensis
Blautia argi
Blautia brookingsii
Blautia faecicola
Blautia faecis
Blautia hominis
Blautia intestinalis
Blautia luti
Blautia obeum
Blautia producta
Blautia provencensis
Blautia schinkii
Blautia stercoris
Blautia wexlerae
Brassicibacter mesophilus
Butyribacter intestini
Butyricimonas faecihominis
Butyricimonas paravirosa
Caenispirillum salinarum
Caldicellulosiruptor owensensis
Caloramator fervidus
Caproicibacter fermentans
Catenibacillus scindens
Cerasicoccus arenae
Clostridium cylindrosporum
Clostridium disporicum
Clostridium fessum
[Clostridium] fimetarium
[Clostridium] methylpentosum
Clostridium phoceensis
[Clostridium] polysaccharolyticum
Clostridium porci
Colidextribacter massiliensis
Collinsella aerofaciens
Collinsella vaginalis
Congzhengia minquanensis
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Corynebacterium dentalis
Criibacterium bergeronii
Cuneatibacter caecimuris
Dehalobacterium formicoaceticum
Dendrosporobacter quercicolus
Desulfosporosinus burensis
Desulfovibrio desulfuricans
Diplocloster agilis
Diplocloster modestus
Dongia sedimenti
Dorea longicatena
Dorea phocaeensis
Duncaniella muris
Dysosmobacter welbionis
Eggerthella lenta
Eisenbergiella tayi
Enterocloster aldenensis
Enterocloster asparagiformis
Enterocloster hominis
Enterocloster lavalensis
Eshraghiella crossota
Ethanoligenens harbinense
[Eubacterium] cellulosolvens
Eubacterium coprostanoligenes
Eubacterium oxidoreducens
[Eubacterium] siraeum
Eubacterium uniforme
Eubacterium ventriosum
Eubacterium xylanophilum
Eurychoronema bolivianum
Evtepia gabavorous
Faecalibacillus faecis
Faecalibacillus intestinalis
Faecalibacterium butyricigenerans
Faecalibacterium duncaniae
Faecalibacterium hattorii
Faecalibacterium langellae
Faecalibacterium longum
Faecalibacterium prausnitzii
Faecalicatena absiana
Faecalicatena fissicatena
Faecalicatena orotica
Faecalicoccus acidiformans
Faecalimonas umbilicata
Falcatimonas natans
Feifania hominis
Filifactor villosus
Flavobacterium koreense
Flavonifractor plautii
Flintibacter butyricus
Flintibacter porci
Fumia xinanensis
Fusicatenibacter saccharivorans
Fusimonas intestini
Gehongia tenuis
Gemmiger formicilis
Gemmiger gallinarum
Geosporobacter subterraneus
Gluceribacter canis
Gorbachella massiliensis
Gordonibacter urolithinfaciens
Granulicatella adiacens
Guggenheimella bovis
Guopingia tenuis
Haemophilus parainfluenzae
Haploplasma axanthum
Harryflintia acetispora
Hespellia porcina
Hespellia stercorisuis
Holdemanella porci
Holdemania filiformis
Hominisplanchenecus faecis
Hungatella effluvii
Hungatella hathewayi
Ihubacter massiliensis
Ilyobacter delafieldii
Insolitispirillum peregrinum
Intestinibacillus massiliensis
Intestinimonas butyriciproducens
Intestinimonas massiliensis
Intestinimonas timonensis
Jingyaoa shaoxingensis
Jutongia hominis
Jutongia huaianensis
Kiloniella antarctica
Kineothrix alysoides
Konateibacter massiliensis
Lachnoanaerobaculum umeaense
Lachnobacterium bovis
Lachnoclostridium edouardi
Lachnospira eligens
Lachnospira pectinoschiza
Lachnotalea glycerini
Lacrimispora sinapis
Lacrimispora xylanisolvens
Lacticaseibacillus paracasei
[Lactobacillus] rogosae
Lactococcus cremoris
Lactococcus lactis
Lactococcus protaetiae
Lactococcus taiwanensis
Lactonifactor longoviformis
Lawsonibacter asaccharolyticus
Lentihominibacter faecis
Lentihominibacter hominis
Lientehia hominis
Ligaoa zhengdingensis
Luoshenia tenuis
Lutispora thermophila
Luxibacter massiliensis
Maliibacterium massiliense
Marasmitruncus massiliensis
Marivibrio halodurans
Marseillibacter massiliensis
Massiliimalia massiliensis
Massilioclostridium coli
Massilistercora timonensis
Mediterraneibacter butyricigenes
Mediterraneibacter catenae
Mediterraneibacter faecis
Mediterraneibacter flintii
Mediterraneibacter glycyrrhizinilyticus
Mediterraneibacter gnavus
Mediterraneibacter massiliensis
Meniscus glaucopis
Merdibacter massiliensis
Merdimmobilis hominis
Merdimonas faecis
Monoglobus pectinilyticus
Mordavella massiliensis
Nautilia profundicola
Negativibacillus massiliensis
Neglectibacter timonensis
Novispirillum itersonii
Novisyntrophococcus fermenticellae
Odoribacter splanchnicus
Oliverpabstia intestinalis
Oribacterium sinus
Oscillibacter ruminantium
Owariibacterium komagatae
Oxalobacter formigenes
Oxobacter pfennigii
Pacificispira spongiicola
Paludihabitans psychrotolerans
Papillibacter cinnamivorans
Parabacteroides distasonis
Parabacteroides faecis
Parabacteroides johnsonii
Parabacteroides merdae
Paradesulfitobacterium ferrireducens
Parasporobacterium paucivorans
Parasutterella excrementihominis
Peptococcus niger
Peptococcus simiae
Petroclostridium xylanilyticum
Phascolarctobacterium faecium
Phocaeicola dorei
Phocaeicola massiliensis
Phocaeicola vulgatus
Pseudoruminococcus massiliensis
Pusillibacter faecalis
Qiania dongpingensis
Raoultibacter timonensis
Rhodococcus marinonascens
Romboutsia timonensis
Roseburia faecis
Roseburia hominis
Roseburia lenta
Roseburia porci
Ructibacterium gallinarum
Ruminiclostridium cellobioparum
Ruminiclostridium herbifermentans
Ruminococcoides bili
Ruminococcus albus
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus champanellensis
Ruminococcus flavefaciens
Ruminococcus gauvreauii
[Ruminococcus] lactaris
[Ruminococcus] torques
Schaalia odontolytica
Shackletoniella antarctica
Simiaoa hominis
Sirenicapillaria stauglerae
Solibaculum mannosilyticum
Sporobacter termitidis
Sporofaciens musculi
Streptococcus hongkongensis
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus peroris
Streptococcus porcinus
Streptococcus thermophilus
Streptococcus vestibularis
Subdoligranulum variabile
Sutterella massiliensis
Sutterella stercoricanis
Sutterella wadsworthensis
Tepidibaculum saccharolyticum
Thermoclostridium caenicola
Thermotalea metallivorans
Timaviella karstica
Turicibacter bilis
Vallitalea okinawensis
Vallitalea sediminicola
Vampirovibrio chlorellavorus
Veillonella dispar
Vescimonas coprocola
Vescimonas fastidiosa
Victivallis vadensis
Waltera intestinalis
Wujia chipingensis
Yeguia hominis
Zhaonella formicivorans
Zhenpiania hominis
