Acetivibrio clariflavus
Acutalibacter caecimuris
Adlercreutzia equolifaciens
Adlercreutzia mucosicola
Aedoeadaptatus pacaensis
Aestuariispira insulae
Agathobacter rectalis
Agathobaculum butyriciproducens
Akkermansia muciniphila
Alistipes communis
Alistipes dispar
Alistipes megaguti
Alistipes okayasuensis
Alistipes onderdonkii
Alistipes putredinis
Alistipes shahii
Alkaliphilus crotonatoxidans
Allisonella histaminiformans
Aminipila butyrica
Aminipila terrae
Anaerobium acetethylicum
Anaerobutyricum soehngenii
Anaerococcus prevotii
Anaerocolumna jejuensis
Anaeromassilibacillus senegalensis
Anaeromicropila herbilytica
Anaerostipes faecalis
Anaerostipes hadrus
Anaerotaenia torta
Anaerotignum aminivorans
Anaerotignum lactatifermentans
Anaerotruncus colihominis
Anaerotruncus rubiinfantis
Aristaeella hokkaidonensis
Aristaeella lactis
Bacteroides bouchesdurhonensis
Bacteroides caccae
Bacteroides caecimuris
Bacteroides clarus
Bacteroides eggerthii
Bacteroides faecichinchillae
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides humanifaecis
Bacteroides intestinalis
Bacteroides koreensis
Bacteroides luhongzhouii
Bacteroides ovatus
Bacteroides salyersiae
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides xylanisolvens
Bacteroides zhangwenhongii
Bifidobacterium bifidum
Bifidobacterium callitrichidarum
Bilophila wadsworthia
Blautia argi
Blautia brookingsii
Blautia faecis
Blautia hydrogenotrophica
Blautia intestinalis
Blautia luti
Blautia obeum
Blautia phocaeensis
Blautia producta
Blautia provencensis
Blautia stercoris
Blautia wexlerae
Butyribacter intestini
Butyricicoccus faecihominis
Caldicellulosiruptor owensensis
Caproiciproducens galactitolivorans
Catenibacillus scindens
Christensenella timonensis
[Clostridium] colinum
Clostridium disporicum
Clostridium fessum
Clostridium porci
[Clostridium] scindens
Colidextribacter massiliensis
Collinsella aerofaciens
Collinsella vaginalis
Coprobacter secundus
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Coprococcus phoceensis
Corynebacterium appendicis
Criibacterium bergeronii
Cuneatibacter caecimuris
Desulfovibrio piger
Dialister hominis
Dialister propionicifaciens
Diplocloster agilis
Dorea longicatena
Dorea phocaeensis
Duncaniella dubosii
Duncaniella muricolitica
Dysosmobacter welbionis
Eggerthella lenta
Enterocloster asparagiformis
Enterocloster hominis
Enterocloster lavalensis
Escherichia coli
Escherichia marmotae
Eubacterium coprostanoligenes
[Eubacterium] siraeum
Eubacterium ventriosum
Evtepia gabavorous
Ezakiella coagulans
Faecalibacillus faecis
Faecalibacterium butyricigenerans
Faecalibacterium duncaniae
Faecalibacterium langellae
Faecalibacterium longum
Faecalibacterium prausnitzii
Faecalicatena contorta
Faecalimonas umbilicata
Feifania hominis
Fenollaria massiliensis
Filifactor villosus
Flintibacter porci
Franconibacter helveticus
Frisingicoccus caecimuris
Fusicatenibacter saccharivorans
Gemmiger formicilis
Gordonibacter urolithinfaciens
Granulicatella adiacens
Guopingia tenuis
Haemophilus parainfluenzae
Heminiphilus faecis
Herbinix luporum
Hippea maritima
Hominisplanchenecus faecis
Hoylesella buccalis
Hungatella effluvii
Ihubacter massiliensis
Intestinibacter bartlettii
Intestinimonas timonensis
Jingyaoa shaoxingensis
Jutongia hominis
Jutongia huaianensis
Kallipyga massiliensis
Khoudiadiopia massiliensis
Kineothrix alysoides
Klebsiella pneumoniae
Lachnoclostridium edouardi
Lachnospira eligens
Lachnospira pectinoschiza
Lactobacillus apis
[Lactobacillus] rogosae
Lactonifactor longoviformis
Lawsonibacter asaccharolyticus
Lientehia hominis
Ligilactobacillus murinus
Marseillibacter massiliensis
Massiliprevotella massiliensis
Massilistercora timonensis
Mediterraneibacter catenae
Mediterraneibacter faecis
Mediterraneibacter gnavus
Merdimmobilis hominis
Micromonospora musae
Micromonospora pisi
Millionella massiliensis
Monoglobus pectinilyticus
Mordavella massiliensis
Murdochiella massiliensis
Muribaculum intestinale
Muricomes intestini
Nautilia profundicola
Negativibacillus massiliensis
Neglectibacter timonensis
Novisyntrophococcus fermenticellae
Odoribacter laneus
Odoribacter splanchnicus
Oliverpabstia intestinalis
Oscillibacter ruminantium
Pantoea ananatis
Pantoea conspicua
Pantoea piersonii
Pantoea wallisii
Papillibacter cinnamivorans
Parabacteroides distasonis
Parabacteroides johnsonii
Parabacteroides merdae
Parasutterella excrementihominis
Peptococcus niger
Peptoniphilus porci
Phascolarctobacterium faecium
Phocaeicola coprocola
Phocaeicola dorei
Phocaeicola vulgatus
Porphyromonas bennonis
Prevotella corporis
Prevotella disiens
Pseudescherichia vulneris
Pseudomonas aylmerensis
Pseudomonas meliae
Pseudomonas mucoides
Pseudomonas palleroniana
Pseudomonas rhodesiae
Pseudomonas salomonii
Pseudoruminococcus massiliensis
Qiania dongpingensis
Raoultibacter timonensis
Romboutsia timonensis
Roseburia faecis
Roseburia hominis
Roseburia intestinalis
Roseburia inulinivorans
Roseburia lenta
Roseburia porci
Rubneribacter badeniensis
Ructibacterium gallinarum
Ruminiclostridium cellobioparum
Ruminococcoides bili
Ruminococcus callidus
Ruminococcus champanellensis
[Ruminococcus] lactaris
[Ruminococcus] torques
Ruthenibacterium lactatiformans
Salmonella enterica
Sangeribacter muris
Schaalia odontolytica
Schaedlerella arabinosiphila
Segatella copri
Sellimonas intestinalis
Senegalimassilia anaerobia
