run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011171	PRJNA856341	W8_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/071/SRR20011171/SRR20011171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/071/SRR20011171/SRR20011171_2.fastq.gz
SRR20011172	PRJNA856341	W4_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/072/SRR20011172/SRR20011172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/072/SRR20011172/SRR20011172_2.fastq.gz
SRR20011173	PRJNA856341	W4_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/073/SRR20011173/SRR20011173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/073/SRR20011173/SRR20011173_2.fastq.gz
SRR20011176	PRJNA856341	W4_SP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/076/SRR20011176/SRR20011176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/076/SRR20011176/SRR20011176_2.fastq.gz
SRR20011177	PRJNA856341	W4_SP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/077/SRR20011177/SRR20011177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/077/SRR20011177/SRR20011177_2.fastq.gz
SRR20011178	PRJNA856341	W4_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/078/SRR20011178/SRR20011178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/078/SRR20011178/SRR20011178_2.fastq.gz
SRR20011179	PRJNA856341	W4_SV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20011179/SRR20011179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20011179/SRR20011179_2.fastq.gz
SRR20011180	PRJNA856341	W4_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/080/SRR20011180/SRR20011180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/080/SRR20011180/SRR20011180_2.fastq.gz
SRR20011186	PRJNA856341	W4_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20011186/SRR20011186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20011186/SRR20011186_2.fastq.gz
SRR20011191	PRJNA856341	W4_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/091/SRR20011191/SRR20011191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/091/SRR20011191/SRR20011191_2.fastq.gz
SRR20011192	PRJNA856341	W0_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/092/SRR20011192/SRR20011192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/092/SRR20011192/SRR20011192_2.fastq.gz
SRR20011194	PRJNA856341	W4_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/094/SRR20011194/SRR20011194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/094/SRR20011194/SRR20011194_2.fastq.gz
SRR20011198	PRJNA856341	W4_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/098/SRR20011198/SRR20011198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/098/SRR20011198/SRR20011198_2.fastq.gz
SRR20011199	PRJNA856341	W4_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/099/SRR20011199/SRR20011199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/099/SRR20011199/SRR20011199_2.fastq.gz
SRR20011200	PRJNA856341	W4_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/000/SRR20011200/SRR20011200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/000/SRR20011200/SRR20011200_2.fastq.gz
SRR20011206	PRJNA856341	W4_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20011206/SRR20011206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20011206/SRR20011206_2.fastq.gz
SRR20011209	PRJNA856341	W2_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/009/SRR20011209/SRR20011209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/009/SRR20011209/SRR20011209_2.fastq.gz
SRR20011210	PRJNA856341	W2_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/010/SRR20011210/SRR20011210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/010/SRR20011210/SRR20011210_2.fastq.gz
